Wall time,Step,Value
1548986424.1517832,1,2.3021700382232666
1548986680.4464936,2,1.8285517692565918
1548986981.3440135,3,1.8094737529754639
1548987328.292689,4,1.4652403593063354
1548987700.2894604,5,1.2099989652633667
1548988100.954233,6,0.9158114790916443
1548988557.3295367,7,0.7139952778816223
1548989078.6141117,8,0.5723084211349487
1548989631.0515082,9,0.5354819893836975
1548990212.954237,10,0.5115503072738647
1548990872.158909,11,0.4669242799282074
1548991614.8291955,12,0.4244635999202728
1548992390.7538807,13,0.35288703441619873
1548993200.8115444,14,0.45833492279052734
1548994103.6310923,15,0.38156506419181824
1548995104.839251,16,0.29612186551094055
1548996145.9416945,17,0.3609269857406616
1548997230.1824527,18,0.3311482071876526
1548998423.579277,19,0.2845516800880432
1548999729.5156431,20,0.3107316792011261
1549001079.4399474,21,0.23676808178424835
1549002481.4594588,22,0.20696629583835602
1549004002.0044308,23,0.2086983323097229
