Wall time,Step,Value
1548986424.1517832,1,2.30216908454895
1548986680.4464936,2,1.7216295003890991
1548986981.3440135,3,1.6679344177246094
1548987328.292689,4,1.3053666353225708
1548987700.2894604,5,0.9585719108581543
1548988100.954233,6,0.7386268973350525
1548988557.3295367,7,0.5352047681808472
1548989078.6141117,8,0.46014606952667236
1548989631.0515082,9,0.39557263255119324
1548990212.954237,10,0.3365914225578308
1548990872.158909,11,0.30002763867378235
1548991614.8291955,12,0.2749241590499878
1548992390.7538807,13,0.2458260953426361
1548993200.8115444,14,0.23736533522605896
1548994103.6310923,15,0.21324259042739868
1548995104.839251,16,0.1900434046983719
1548996145.9416945,17,0.2007042020559311
1548997230.1824527,18,0.1799347996711731
1548998423.579277,19,0.16091205179691315
1548999729.5156431,20,0.15479645133018494
1549001079.4399474,21,0.139982208609581
1549002481.4594588,22,0.12406661361455917
1549004002.0044308,23,0.1228640004992485
