Wall time,Step,Value
1548945793.8963277,1,2.302201509475708
1548945835.3644068,2,1.5093092918395996
1548945885.8270512,3,1.2650868892669678
1548945949.1353874,4,1.0130172967910767
1548946018.1460416,5,0.7845056653022766
1548946094.595072,6,0.624253511428833
1548946185.2743206,7,0.44739362597465515
1548946291.8905518,8,0.3427591919898987
1548946406.9086287,9,0.29998427629470825
1548946534.9808254,10,0.25031012296676636
1548946678.3495352,11,0.22529567778110504
1548946843.843883,12,0.20629429817199707
1548947020.1114435,13,0.20070543885231018
1548947205.66458,14,0.16367222368717194
1548947413.2328062,15,0.16579332947731018
1548947649.663479,16,0.1557750254869461
1548947898.8272955,17,0.14020124077796936
1548948159.5442407,18,0.1264587789773941
1548948447.200343,19,0.11998354643583298
1548948767.6260262,20,0.11742750555276871
1548949097.0483823,21,0.10790008306503296
1548949439.573757,22,0.10147526115179062
1548949820.654685,23,0.09347213804721832
