Wall time,Step,Value
1548916263.9405675,1,2.3023788928985596
1548916316.2828069,2,1.2306641340255737
1548916376.111733,3,0.6869401931762695
1548916443.9699464,4,0.5791657567024231
1548916523.6058404,5,0.4927545189857483
1548916610.2375102,6,0.45593512058258057
1548916711.787198,7,0.4214078187942505
1548916820.8117023,8,0.3874762952327728
1548916946.703275,9,0.3265480101108551
1548917090.1721253,10,0.3237830698490143
1548917242.9063797,11,0.31260693073272705
1548917418.5770183,12,0.2894044816493988
1548917614.1714756,13,0.26878345012664795
1548917818.9463696,14,0.2524826228618622
1548918046.998748,15,0.23631133139133453
1548918300.6615257,16,0.22448553144931793
1548918575.5634832,17,0.23749420046806335
1548918868.741937,18,0.1965484619140625
1548919191.3314688,19,0.28674420714378357
1548919526.6787806,20,0.16400134563446045
1548919900.2325263,21,0.1568729728460312
1548920279.4743598,22,0.15531495213508606
1548920690.548582,23,0.14786496758460999
1548921137.68909,24,0.14432568848133087
