Wall time,Step,Value
1548950459.1438372,1,2.302365779876709
1548950498.199025,2,1.25009024143219
1548950547.5185802,3,0.9887910485267639
1548950609.9407012,4,0.928682267665863
1548950682.9523976,5,0.4915584623813629
1548950764.6719882,6,0.38975995779037476
1548950856.357951,7,0.24482816457748413
1548950967.4207976,8,0.21676187217235565
1548951086.4751284,9,0.1457461416721344
1548951212.130016,10,0.1405164748430252
1548951356.4487329,11,0.09578211605548859
1548951522.1156602,12,0.07338239252567291
1548951697.2326694,13,0.08120610564947128
1548951882.2012022,14,0.032641369849443436
1548952090.5458302,15,0.06536183506250381
1548952324.6038303,16,0.05776328966021538
1548952582.073388,17,0.04413343220949173
1548952846.2510834,18,0.037360139191150665
1548953132.021586,19,0.034009724855422974
1548953452.4385471,20,0.029525842517614365
1548953782.463521,21,0.01752091385424137
1548954129.4174786,22,0.03394504263997078
1548954508.1900184,23,0.030074771493673325
