Wall time,Step,Value
1548950459.1438372,1,2.302367687225342
1548950498.199025,2,1.5929923057556152
1548950547.5185802,3,1.2682408094406128
1548950609.9407012,4,1.1545674800872803
1548950682.9523976,5,0.7815086245536804
1548950764.6719882,6,0.6244193911552429
1548950856.357951,7,0.5144956707954407
1548950967.4207976,8,0.35921159386634827
1548951086.4751284,9,0.28421300649642944
1548951212.130016,10,0.29582536220550537
1548951356.4487329,11,0.19772343337535858
1548951522.1156602,12,0.18049396574497223
1548951697.2326694,13,0.1920398473739624
1548951882.2012022,14,0.17475461959838867
1548952090.5458302,15,0.17743484675884247
1548952324.6038303,16,0.16450773179531097
1548952582.073388,17,0.17596392333507538
1548952846.2510834,18,0.14625120162963867
1548953132.021586,19,0.1361788809299469
1548953452.4385471,20,0.10118132829666138
1548953782.463521,21,0.13956992328166962
1548954129.4174786,22,0.12538683414459229
1548954508.1900184,23,0.08188344538211823
