Wall time,Step,Value
1548922509.862352,1,2.3024182319641113
1548922562.2798033,2,1.2481813430786133
1548922619.9667184,3,0.7081880569458008
1548922691.705484,4,0.5693480968475342
1548922774.635464,5,0.5309689044952393
1548922862.930235,6,0.5128062963485718
1548922967.3651762,7,0.42541423439979553
1548923082.6872485,8,0.36955031752586365
1548923208.7015417,9,0.39967048168182373
1548923352.7876143,10,0.3066450357437134
1548923506.1958103,11,0.30828550457954407
1548923679.4543962,12,0.3373248279094696
1548923874.9073472,13,0.30071306228637695
1548924081.1216867,14,0.23859791457653046
1548924310.9120939,15,0.2630459666252136
1548924565.1793482,16,0.21809455752372742
1548924831.9805977,17,0.17742519080638885
1548925127.7732604,18,0.15611109137535095
1548925450.9636908,19,0.17392395436763763
1548925786.1566122,20,0.2832621932029724
1548926153.0381093,21,0.22650215029716492
1548926534.4868424,22,0.2640584111213684
1548926949.7141182,23,0.20095126330852509
