Wall time,Step,Value
1548916263.9405675,1,2.302379846572876
1548916316.2828069,2,1.3050649166107178
1548916376.111733,3,0.8187534213066101
1548916443.9699464,4,0.6699516177177429
1548916523.6058404,5,0.5989016890525818
1548916610.2375102,6,0.5097955465316772
1548916711.787198,7,0.45996636152267456
1548916820.8117023,8,0.42049893736839294
1548916946.703275,9,0.3936745226383209
1548917090.1721253,10,0.38517898321151733
1548917242.9063797,11,0.37306034564971924
1548917418.5770183,12,0.36164620518684387
1548917614.1714756,13,0.3364768922328949
1548917818.9463696,14,0.30680549144744873
1548918046.998748,15,0.2716847360134125
1548918300.6615257,16,0.2914583683013916
1548918575.5634832,17,0.29852494597435
1548918868.741937,18,0.2569701075553894
1548919191.3314688,19,0.3514783978462219
1548919526.6787806,20,0.19509440660476685
1548919900.2325263,21,0.21279342472553253
1548920279.4743598,22,0.1971260905265808
1548920690.548582,23,0.2094847559928894
1548921137.68909,24,0.18271832168102264
