Wall time,Step,Value
1548922509.862352,1,2.3024165630340576
1548922562.2798033,2,1.0438966751098633
1548922619.9667184,3,0.5254008173942566
1548922691.705484,4,0.38340941071510315
1548922774.635464,5,0.3046152591705322
1548922862.930235,6,0.240000918507576
1548922967.3651762,7,0.21129609644412994
1548923082.6872485,8,0.20885612070560455
1548923208.7015417,9,0.2056732177734375
1548923352.7876143,10,0.201114222407341
1548923506.1958103,11,0.15066921710968018
1548923679.4543962,12,0.1319478452205658
1548923874.9073472,13,0.11991696059703827
1548924081.1216867,14,0.1317630410194397
1548924310.9120939,15,0.09601609408855438
1548924565.1793482,16,0.0576765276491642
1548924831.9805977,17,0.09480341523885727
1548925127.7732604,18,0.061502743512392044
1548925450.9636908,19,0.09568611532449722
1548925786.1566122,20,0.07974530756473541
1548926153.0381093,21,0.0841221809387207
1548926534.4868424,22,0.12640640139579773
1548926949.7141182,23,0.06200451776385307
