Wall time,Step,Value
1548945793.8963277,1,2.3022022247314453
1548945835.3644068,2,1.5816822052001953
1548945885.8270512,3,1.337548017501831
1548945949.1353874,4,1.0712509155273438
1548946018.1460416,5,0.9151152968406677
1548946094.595072,6,0.6722879409790039
1548946185.2743206,7,0.5164152979850769
1548946291.8905518,8,0.42180144786834717
1548946406.9086287,9,0.3327319025993347
1548946534.9808254,10,0.32398486137390137
1548946678.3495352,11,0.26024389266967773
1548946843.843883,12,0.2408619225025177
1548947020.1114435,13,0.2508990168571472
1548947205.66458,14,0.18862029910087585
1548947413.2328062,15,0.2109466791152954
1548947649.663479,16,0.19606074690818787
1548947898.8272955,17,0.18182459473609924
1548948159.5442407,18,0.18053476512432098
1548948447.200343,19,0.1448718011379242
1548948767.6260262,20,0.1390765905380249
1548949097.0483823,21,0.13773690164089203
1548949439.573757,22,0.12067976593971252
1548949820.654685,23,0.13572360575199127
